key,en,zh_TW,de,fr,it
tunerTitle,"TUNER","調音器","STIMMGERÄT","ACCORDEUR","ACCORDATORE"
settingsTitle,"Settings","設定","Einstellungen","Paramètres","Impostazioni"
settingsNoteDisplayLabel,"Note display","音符顯示","Notenname","Affichage des notes","Visualizzazione note"
settingsAlwaysShowFlatsToggle,"♭  Always show flats","♭  一律顯示降號","♭  Immer b-Vorzeichen","♭  Toujours en bémol","♭  Mostra sempre i bemolle"
settingsAlwaysShowFlatsHint,"e.g. B♭ instead of A♯","例：B♭ 而非 A♯","z.B. B♭ statt A♯","ex. B♭ au lieu de A♯","es. B♭ invece di A♯"
settingsOctaveNumberLabel,"Octave number","八度音","Oktavnummer","Numéro d'octave","Numero di ottava"
settingsShowOctaveToggle,"Show octave number","顯示八度音號碼","Oktavnummer anzeigen","Afficher l'octave","Mostra numero di ottava"
settingsShowOctaveHint,"e.g. A4 instead of A","例：A4 而非 A","z.B. A4 statt A","ex. A4 au lieu de A","es. A4 invece di A"
settingsLanguageLabel,"Language","語言","Sprache","Langue","Lingua"
tunerStartBtn,"Start Tuning","開始調音","Stimmen starten","Accorder","Inizia accordatura"
tunerStopBtn,"Stop","停止","Stopp","Arrêter","Ferma"
gaugeListeningMsg,"Listening for a note…","正在聆聽音符…","Auf Ton hören…","Écoute d'une note…","In ascolto di una nota…"
gaugeTapToBeginMsg,"Tap Start Tuning to begin","點擊以開始調音","Antippen zum Starten","Appuyez pour commencer","Tocca per iniziare"
pitchLightFlatLabel,"Flat","偏低","Zu tief","Trop bas","Basso"
pitchLightInTuneLabel,"In Tune","準確","Gestimmt","Juste","Intonato"
pitchLightSharpLabel,"Sharp","偏高","Zu hoch","Trop haut","Alto"
errorMicDeniedTitle,"Microphone access denied","麥克風存取被拒","Mikrofonzugriff verweigert","Accès au microphone refusé","Accesso al microfono negato"
errorMicDeniedMsg,"Go to Settings → Tuner → Microphone and turn it on.","請前往「設定」→「調音器」→「麥克風」並開啟權限。","Einstellungen → Stimmgerät → Mikrofon öffnen und aktivieren.","Allez dans Réglages → Accordeur → Microphone et activez-le.","Vai in Impostazioni → Accordatore → Microfono e attivalo."
errorMicDeniedBtn,"Open Settings","開啟設定","Einstellungen öffnen","Ouvrir les réglages","Apri impostazioni"
errorMicUnavailableMsg,"Microphone unavailable: {message}","麥克風無法使用：{message}","Mikrofon nicht verfügbar: {message}","Microphone indisponible : {message}","Microfono non disponibile: {message}"
